Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Taunton city,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,569170,1,"Boston-Cambridge-Quincy, MA-NH",2569170,4552402,MA
Swansea town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,568750,1,"Providence-New Bedford-Fall River, RI-MA",2568750,1600852,MA
Sharon town,CT06,CT,6,0,Northwest Hills Council of Governments,567960,1,Not Applicable,967960,-,CT
Salisbury town,CT06,CT,6,0,Northwest Hills Council of Governments,566420,1,Not Applicable,966420,-,CT
Roxbury town,CT06,CT,6,0,Northwest Hills Council of Governments,565930,1,Not Applicable,965930,-,CT
Roxbury,NH07,NH,7,0,Southwest Region Planning Commission,565700,1,Not Applicable,3365700,-,Ro
Rindge,NH07,NH,7,0,Southwest Region Planning Commission,564580,1,Not Applicable,3364580,-,Ri
Richmond,NH07,NH,7,0,Southwest Region Planning Commission,564420,1,Not Applicable,3364420,-,Ri
Sheffield town,VT06,VT,6,0,Northeastern Vermont Development Association,564075,1,Not Applicable,5064075,-,VT
Somerset town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,562430,1,"Providence-New Bedford-Fall River, RI-MA",2562430,1600852,MA
St. Johnsbury town,VT06,VT,6,0,Northeastern Vermont Development Association,562200,1,Not Applicable,5062200,-,VT
Ryegate town,VT06,VT,6,0,Northeastern Vermont Development Association,561525,1,Not Applicable,5061525,-,VT
Plymouth town,CT04,CT,4,0,Naugatuck Valley Council of Governments,560750,1,"Hartford-West Hartford-East Hartford, CT",960750,1212381,CT
Seekonk town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,560645,1,"Providence-New Bedford-Fall River, RI-MA",2560645,1600852,MA
Portsmouth town,RI75,RI,75,0,State of Rhode Island,557880,1,"Providence-New Bedford-Fall River, RI-MA",4457880,1600852,RI
Rehoboth town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,556375,1,"Providence-New Bedford-Fall River, RI-MA",2556375,1600852,MA
Raynham town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,556060,1,"Boston-Cambridge-Quincy, MA-NH",2556060,4552402,MA
Peacham town,VT06,VT,6,0,Northeastern Vermont Development Association,554400,1,Not Applicable,5054400,-,VT
North Canaan town,CT06,CT,6,0,Northwest Hills Council of Governments,554030,1,Not Applicable,954030,-,CT
Norfolk town,CT06,CT,6,0,Northwest Hills Council of Governments,553470,1,Not Applicable,953470,-,CT
New Milford town,CT09,CT,9,0,Western Connecticut Council of Governments,552630,1,"Bridgeport-Stamford-Norwalk, CT",952630,916829,CT
