Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Bozrah town,CT08,CT,8,0,Southeastern Connecticut Council of Governments,1106820,1,"Norwich-New London, CT",906820,274055,CT
Bernardston town,MA03,MA,3,0,Franklin Regional Council of Governments,1105560,1,Not Applicable,2505560,-,MA
Berkshire town,VT01,VT,1,0,Northwest RPC,1105425,1,Not Applicable,5005425,-,VT
Bennington,NH07,NH,7,0,Southwest Region Planning Commission,1104900,1,Not Applicable,3304900,-,Be
Bedford,NH04,NH,4,0,Southern New Hampshire Planning Commission,1104500,1,"Boston-Cambridge-Quincy, MA-NH",3304500,4552402,Be
Bakersfield town,VT01,VT,1,0,Northwest RPC,1102500,1,Not Applicable,5002500,-,VT
Ashfield town,MA03,MA,3,0,Franklin Regional Council of Governments,1102095,1,"Springfield, MA",2502095,692942,MA
Antrim,NH07,NH,7,0,Southwest Region Planning Commission,1101700,1,Not Applicable,3301700,-,An
Amherst,NH08,NH,8,0,Nashua Regional Planning Commission,1101300,1,"Boston-Cambridge-Quincy, MA-NH",3301300,4552402,Am
Woodbridge town,CT07,CT,7,0,South Central Region Council of Governments,987700,1,"Bridgeport-Stamford-Norwalk, CT",987700,916829,CT
Wolcott town,CT04,CT,4,0,Naugatuck Valley Council of Governments,987560,1,"Bridgeport-Stamford-Norwalk, CT",987560,916829,CT
Woodstock,NH05,NH,5,0,North Country Council,987060,1,Not Applicable,3387060,-,Wo
West Haven town,CT07,CT,7,0,South Central Region Council of Governments,982870,1,"New Haven-Milford, CT",982870,862477,CT
Wentworth,NH05,NH,5,0,North Country Council,980500,1,Not Applicable,3380500,-,We
Waterbury town,CT04,CT,4,0,Naugatuck Valley Council of Governments,980070,1,"Bridgeport-Stamford-Norwalk, CT",980070,916829,CT
Waterville Valley,NH05,NH,5,0,North Country Council,979380,1,Not Applicable,3379380,-,Wa
Wallingford town,CT07,CT,7,0,South Central Region Council of Governments,978741,1,Not Applicable,978741,-,CT
Warren,NH05,NH,5,0,North Country Council,978740,1,Not Applicable,3378740,-,Wa
West Newbury town,MA07,MA,7,0,Merrimack Valley RPC,977150,1,"Boston-Cambridge-Quincy, MA-NH",2577150,4552402,MA
Westerly town,RI75,RI,75,0,State of Rhode Island,977000,1,"Norwich-New London, CT",4477000,274055,RI
Thornton,NH05,NH,5,0,North Country Council,976740,1,Not Applicable,3376740,-,Th
Warren's gore,VT06,VT,6,0,Northeastern Vermont Development Association,976562,1,Not Applicable,5076562,-,VT
Warner's grant,VT06,VT,6,0,Northeastern Vermont Development Association,976337,1,Not Applicable,5076337,-,VT
Victory town,VT06,VT,6,0,Northeastern Vermont Development Association,975175,1,Not Applicable,5075175,-,VT
Sugar Hill,NH05,NH,5,0,North Country Council,974740,1,Not Applicable,3374740,-,Su
Wenham town,MA09,MA,9,0,Metropolitan Area Planning Council,974595,1,"Boston-Cambridge-Quincy, MA-NH",2574595,4552402,MA
